system:index,cloud_cover,date,mean,name,zone,.geo
LC08_146040_20231101_2,0.09,2023-11-01,31.328893760000028,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146040_20231101_3,0.09,2023-11-01,31.83476072000002,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146040_20231101_4,0.09,2023-11-01,31.995407660000012,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
LC08_146040_20231101_5,0.09,2023-11-01,30.416282420000016,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
LC08_146040_20231101_6,0.09,2023-11-01,35.37582944000002,Bahadurgarh,rural,"{""type"":""Point"",""coordinates"":[76.92,28.619999999999997]}"
LC08_146040_20231101_7,0.09,2023-11-01,34.41194780000001,Ghaziabad outskirts,rural,"{""type"":""Point"",""coordinates"":[77.45,28.720000000000002]}"
LC08_146040_20231101_8,0.09,2023-11-01,31.09646840000005,Delhi Ridge Forest,green_space,"{""type"":""Point"",""coordinates"":[77.18,28.71]}"
LC08_146040_20231101_9,0.09,2023-11-01,31.161410779999983,Lodhi Garden,green_space,"{""type"":""Point"",""coordinates"":[77.24,28.6]}"
LC08_146040_20231117_0,0.08,2023-11-17,26.25313405999998,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146040_20231117_1,0.08,2023-11-17,27.124729160000015,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
LC08_146040_20231117_2,0.08,2023-11-17,26.98800835999998,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146040_20231117_3,0.08,2023-11-17,26.905975880000028,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146040_20231117_4,0.08,2023-11-17,26.584682000000043,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
LC08_146040_20231117_5,0.08,2023-11-17,26.18477366000002,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
LC08_146040_20231117_6,0.08,2023-11-17,27.931381880000004,Bahadurgarh,rural,"{""type"":""Point"",""coordinates"":[76.92,28.619999999999997]}"
LC08_146040_20231117_7,0.08,2023-11-17,28.652584100000013,Ghaziabad outskirts,rural,"{""type"":""Point"",""coordinates"":[77.45,28.720000000000002]}"
LC08_146040_20231117_8,0.08,2023-11-17,27.138401240000007,Delhi Ridge Forest,green_space,"{""type"":""Point"",""coordinates"":[77.18,28.71]}"
LC08_146040_20231117_9,0.08,2023-11-17,26.98117232000004,Lodhi Garden,green_space,"{""type"":""Point"",""coordinates"":[77.24,28.6]}"
LC08_146040_20231203_0,0.68,2023-12-03,23.07095744000003,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146040_20231203_1,0.68,2023-12-03,23.846847980000007,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
LC08_146040_20231203_2,0.68,2023-12-03,23.67936500000002,Dwarka,suburban,"{""type"":""Point"",""coordinates"":[77.15,28.55]}"
LC08_146040_20231203_3,0.68,2023-12-03,23.901536300000032,Laxmi Nagar,suburban,"{""type"":""Point"",""coordinates"":[77.31,28.63]}"
LC08_146040_20231203_4,0.68,2023-12-03,23.778487580000046,Najafgarh,peri_urban,"{""type"":""Point"",""coordinates"":[77.07,28.52]}"
LC08_146040_20231203_5,0.68,2023-12-03,23.98698680000001,Tughlaqabad,peri_urban,"{""type"":""Point"",""coordinates"":[77.28,28.479999999999997]}"
LC08_146040_20231203_6,0.68,2023-12-03,24.339042860000006,Bahadurgarh,rural,"{""type"":""Point"",""coordinates"":[76.92,28.619999999999997]}"
LC08_146040_20231203_7,0.68,2023-12-03,25.569530060000034,Ghaziabad outskirts,rural,"{""type"":""Point"",""coordinates"":[77.45,28.720000000000002]}"
LC08_146040_20231203_8,0.68,2023-12-03,24.024585020000018,Delhi Ridge Forest,green_space,"{""type"":""Point"",""coordinates"":[77.18,28.71]}"
LC08_146040_20231203_9,0.68,2023-12-03,23.498209940000038,Lodhi Garden,green_space,"{""type"":""Point"",""coordinates"":[77.24,28.6]}"
LC08_146040_20231219_0,1.66,2023-12-19,19.998157460000016,Connaught Place,urban_core,"{""type"":""Point"",""coordinates"":[77.23,28.610000000000003]}"
LC08_146040_20231219_1,1.66,2023-12-19,20.521114520000026,Karol Bagh,urban_core,"{""type"":""Point"",""coordinates"":[77.2,28.670000000000005]}"
